context	folded	n	prop
CpG	C>A	271559	0.3560616987074425
CpG	C>G	310654	0.40732213239208365
CpG	C>T	180461	0.23661616890047385
non-CpG	C>A	1228423	0.19999498556640877
non-CpG	C>G	1670137	0.2719088011287034
non-CpG	C>T	3243709	0.5280962133048879
