context	folded	n	prop
CpG	C>A	795394	0.4041402073253887
CpG	C>G	604630	0.307212895187982
CpG	C>T	568090	0.2886468974866293
non-CpG	C>A	4938132	0.29824161732745935
non-CpG	C>G	3614268	0.21828601053493138
non-CpG	C>T	8005088	0.4834723721376093
