context	folded	n	prop
CpG	C>A	1541634	0.21119159241469573
CpG	C>G	1249745	0.17120512174893907
CpG	C>T	4508315	0.6176032858363651
non-CpG	C>A	8208723	0.2571082058967184
non-CpG	C>G	6661810	0.20865681752506662
non-CpG	C>T	17056581	0.534234976578215
